competition_section,match_number,match_date,date_raw,tournament,round,stadium,home_team,away_team,home_score,away_score,score_note,home_scorers,away_scorers
primera_division,153,1989-07-27,27 de julio de 1989,Liguilla Pre Libertadores 1988-1989,6.ª Fase,Estadio José Amalfitani; (Vélez Sarsfield),Boca Juniors,River Plate,1,2,,Marangoni (86),"Serrizuela (3), R. Centurión (57)"
primera_division,154,1989-09-06,6 de septiembre de 1989,Campeonato 1989-1990,02,La Bombonera,Boca Juniors,River Plate,1,0,,Cucciuffo (53),
primera_division,155,1990-02-02,2 de febrero de 1990,Campeonato 1989-1990,21,El Monumental,River Plate,Boca Juniors,1,1,,Zamora (45),Latorre (46)
primera_division,156,1990-09-23,23 de septiembre de 1990,Campeonato 1990-1991 (Apertura),06,El Monumental,River Plate,Boca Juniors,2,0,,"J. Higuaín (27), R. Da Silva (61)",
primera_division,157,1991-03-31,31 de marzo de 1991,Campeonato 1990-1991 (Clausura),06,La Bombonera,Boca Juniors,River Plate,1,0,,Latorre (73),
primera_division,158,1991-11-10,10 de noviembre de 1991,Torneo Apertura 1991,11,La Bombonera,Boca Juniors,River Plate,0,0,,,
primera_division,159,1992-05-03,3 de mayo de 1992,Torneo Clausura 1992,11,El Monumental,River Plate,Boca Juniors,2,2,,"Berti (36), R. Díaz (p. 59)","Latorre (3, 75)"
primera_division,160,1992-10-11,11 de octubre de 1992,Torneo Apertura 1992,10,La Bombonera,Boca Juniors,River Plate,1,0,,S. Martínez (48),
primera_division,161,1993-04-11,11 de abril de 1993,Torneo Clausura 1993,10,El Monumental,River Plate,Boca Juniors,0,2,,,"S. Martínez (8), A. Acosta (62)"
primera_division,162,1993-10-17,17 de octubre de 1993,Torneo Apertura 1993,06,El Monumental,River Plate,Boca Juniors,0,1,,,A. Acosta (72)
primera_division,163,1994-04-30,30 de abril de 1994,Torneo Clausura 1994,06,La Bombonera,Boca Juniors,River Plate,0,2,,,"Ortega (59), Crespo (86)"
primera_division,164,1994-12-11,11 de diciembre de 1994,Torneo Apertura 1994,18,La Bombonera,Boca Juniors,River Plate,0,3,,,"Francescoli (p. 14), Ortega (24), Gallardo (p. 70)"
primera_division,165,1995-06-18,18 de junio de 1995,Torneo Clausura 1995,18,El Monumental,River Plate,Boca Juniors,2,4,,"Ortega (29), Francescoli (p. 89)","Saldaña (46), Márcico (48), Tchami (85), R. Da Silva (87)"
primera_division,166,1995-11-26,26 de noviembre de 1995,Torneo Apertura 1995,16,El Monumental,River Plate,Boca Juniors,0,0,,,
primera_division,167,1996-07-14,14 de julio de 1996,Torneo Clausura 1996,16,La Bombonera,Boca Juniors,River Plate,4,1,,"Basualdo (43), Caniggia (50, 66, 75)",Amato (88)
primera_division,168,1996-09-29,29 de septiembre de 1996,Torneo Apertura 1996,06,La Bombonera,Boca Juniors,River Plate,3,2,,"Pompei (5), Cedrés (p. 61), Guerra (90)","Salas (21), Sorín (72)"
primera_division,169,1997-03-23,23 de marzo de 1997,Torneo Clausura 1997,06,El Monumental,River Plate,Boca Juniors,3,3,,"Berti (42), Villalba (76), C. Ayala (87)","Cedrés (5), S. Martínez (17, 29)"
primera_division,170,1997-10-25,25 de octubre de 1997,Torneo Apertura 1997,10,El Monumental,River Plate,Boca Juniors,1,2,,Berti (40),"Toresani (47), Palermo (67)"
primera_division,171,1998-04-11,11 de abril de 1998,Torneo Clausura 1998,10,La Bombonera,Boca Juniors,River Plate,3,2,,"Caniggia (56), Palermo (69), Arruabarrena (73)","Solari (36), Salas (89)"
primera_division,172,1998-10-25,25 de octubre de 1998,Torneo Apertura 1998,12,El Monumental,River Plate,Boca Juniors,0,0,,,
